,id,original_description,code,nearest_level1_code,original_code_system,article,parent_ui
63,64,Diseases and symptoms of urinary system,N39.0,N39,ICD10,Schuettig et al (2019),N30-N39
64,65,Diseases of male genital organs,N41.1,N41,ICD10,Schuettig et al (2019),N40-N53
65,66,Diseases of male genital organs,N45.9,N45,ICD10,Schuettig et al (2019),N40-N53
66,67,Diseases of male genital organs,N48.1,N48,ICD10,Schuettig et al (2019),N40-N53
67,68,Symptoms and signs involving the circulatory and respiratory systems,R04.0,R04,ICD10,Schuettig et al (2019),R00-R09
68,69,Symptoms and signs involving the circulatory and respiratory systems,R05,R05,ICD10,Schuettig et al (2019),R00-R09
69,70,Symptoms and signs involving the circulatory and respiratory systems,R06.4,R06,ICD10,Schuettig et al (2019),R00-R09
70,71,Symptoms and signs involving the circulatory and respiratory systems,R10.1,R10,ICD10,Schuettig et al (2019),R10-R19
71,72,Symptoms and signs involving the circulatory and respiratory systems,R10.3,R10,ICD10,Schuettig et al (2019),R10-R19
72,73,Symptoms and signs involving the circulatory and respiratory systems,R10.4,R10,ICD10,Schuettig et al (2019),R10-R19
73,74,Symptoms and signs involving the circulatory and respiratory systems,R11,R11,ICD10,Schuettig et al (2019),R10-R19
74,75,"Dermatitis, eczema and other disease of the skin",R21,R21,ICD10,Schuettig et al (2019),R20-R23
75,76,Diseases and symptoms of urinary system,R30.0,R30,ICD10,Schuettig et al (2019),R30-R39
76,77,Diseases and symptoms of urinary system,R32,R32,ICD10,Schuettig et al (2019),R30-R39
77,78,General symptoms and signs,R50,R50,ICD10,Schuettig et al (2019),R50-R69
78,79,General symptoms and signs,R51,R51,ICD10,Schuettig et al (2019),R50-R69
79,80,General symptoms and signs,R52.9,R52,ICD10,Schuettig et al (2019),R50-R69
80,81,General symptoms and signs,R53,R53,ICD10,Schuettig et al (2019),R50-R69
81,82,Superficial injuries,S00.0,S00,ICD10,Schuettig et al (2019),S00-S09
82,83,Superficial injuries,S00.03,S00,ICD10,Schuettig et al (2019),S00-S09
83,84,Superficial injuries,S00.3,S00,ICD10,Schuettig et al (2019),S00-S09
84,85,Superficial injuries,S00.8,S00,ICD10,Schuettig et al (2019),S00-S09
85,86,Superficial injuries,S00.9,S00,ICD10,Schuettig et al (2019),S00-S09
86,87,Superficial injuries,S30.0,S30,ICD10,Schuettig et al (2019),S30-S39
87,88,Superficial injuries,S40.0,S40,ICD10,Schuettig et al (2019),S40-S49
88,89,Superficial injuries,S50.0,S50,ICD10,Schuettig et al (2019),S50-S59
89,90,Superficial injuries,S50.1,S50,ICD10,Schuettig et al (2019),S50-S59
90,91,Superficial injuries,S50.8,S50,ICD10,Schuettig et al (2019),S50-S59
91,92,Superficial injuries,S60.0,S60,ICD10,Schuettig et al (2019),S60-S69
92,93,Superficial injuries,S60.2,S60,ICD10,Schuettig et al (2019),S60-S69
93,94,Superficial injuries,S60.8,S60,ICD10,Schuettig et al (2019),S60-S69
94,95,Superficial injuries,S70.0,S70,ICD10,Schuettig et al (2019),S70-S79
95,96,Superficial injuries,S80.0,S80,ICD10,Schuettig et al (2019),S80-S89
96,97,Superficial injuries,S80.1,S80,ICD10,Schuettig et al (2019),S80-S89
97,98,Superficial injuries,S80.8,S80,ICD10,Schuettig et al (2019),S80-S89
98,99,"Contusion, sprain and strain",S20.2,S20,ICD10,Schuettig et al (2019),S20-S29
99,100,"Contusion, sprain and strain",S63.5,S63,ICD10,Schuettig et al (2019),S60-S69
100,101,"Contusion, sprain and strain",S63.6,S63,ICD10,Schuettig et al (2019),S60-S69
101,102,"Contusion, sprain and strain",S83.6,S83,ICD10,Schuettig et al (2019),S80-S89
102,103,Fractures and injuries,S92.5,S92,ICD10,Schuettig et al (2019),S90-S99
103,104,Superficial injuries,S90.1,S90,ICD10,Schuettig et al (2019),S90-S99
104,105,Superficial injuries,S90.3,S90,ICD10,Schuettig et al (2019),S90-S99
105,106,"Contusion, sprain and strain",S93.4,S93,ICD10,Schuettig et al (2019),S90-S99
106,107,"Contusion, sprain and strain",S93.6,S93,ICD10,Schuettig et al (2019),S90-S99
107,108,Effects of external causes,T67.6,T67,ICD10,Schuettig et al (2019),T66-T78
108,109,Effects of external causes,T75.2,T75,ICD10,Schuettig et al (2019),T66-T78
109,110,Effects of external causes,T78.4,T78,ICD10,Schuettig et al (2019),T66-T78
110,111,Effects of external causes,T83.0,T83,ICD10,Schuettig et al (2019),T80-T88
111,112,Persons encountering health services for examination and investigation ,Z01,Z01,ICD10,Schuettig et al (2019),Z00-Z13
112,113,Persons encountering health services for examination and investigation ,Z09,Z09,ICD10,Schuettig et al (2019),Z00-Z13
113,114,Persons with potential health hazards related to communicable diseases,Z23,Z23,ICD10,Schuettig et al (2019),Z20-Z29
114,115,Persons with potential health hazards related to communicable diseases,Z24.4,Z24,ICD10,Schuettig et al (2019),ERROR
115,116,Persons with potential health hazards related to communicable diseases,Z24.5,Z24,ICD10,Schuettig et al (2019),ERROR
116,117,Persons with potential health hazards related to communicable diseases,Z24.6,Z24,ICD10,Schuettig et al (2019),ERROR
117,118,Persons with potential health hazards related to communicable diseases,Z25.8,Z25,ICD10,Schuettig et al (2019),ERROR
118,119,Persons with potential health hazards related to communicable diseases,Z27.4,Z27,ICD10,Schuettig et al (2019),ERROR
119,120,Persons with potential health hazards related to communicable diseases,Z29.8,Z29,ICD10,Schuettig et al (2019),Z20-Z29
120,121,Persons encountering health services for specific procedures and health care,Z41.9,Z41,ICD10,Schuettig et al (2019),Z40-Z53
121,122,Persons encountering health services for specific procedures and health care,Z43.0,Z43,ICD10,Schuettig et al (2019),Z40-Z53
122,123,Persons encountering health services for specific procedures and health care,Z43.2,Z43,ICD10,Schuettig et al (2019),Z40-Z53
123,124,Persons encountering health services for specific procedures and health care,Z43.3,Z43,ICD10,Schuettig et al (2019),Z40-Z53
124,125,Persons encountering health services for specific procedures and health care,Z47.8,Z47,ICD10,Schuettig et al (2019),Z40-Z53
125,126,Persons encountering health services for specific procedures and health care,Z47.9,Z47,ICD10,Schuettig et al (2019),Z40-Z53
126,127,Persons encountering health services for specific procedures and health care,Z48.0,Z48,ICD10,Schuettig et al (2019),Z40-Z53
127,128,Persons encountering health services for specific procedures and health care,Z48.8,Z48,ICD10,Schuettig et al (2019),Z40-Z53
128,129,Persons encountering health services for specific procedures and health care,Z48.9,Z48,ICD10,Schuettig et al (2019),Z40-Z53
129,130,Persons encountering health services for specific procedures and health care,Z59,Z59,ICD10,Schuettig et al (2019),Z55-Z65
130,131,Persons encountering health services for specific procedures and health care,Z63,Z63,ICD10,Schuettig et al (2019),Z55-Z65
131,132,Persons encountering health services for examination and investigation ,Z72.8,Z72,ICD10,Schuettig et al (2019),Z69-Z76
132,133,Persons encountering health services for examination and investigation ,Z74.8,Z74,ICD10,Schuettig et al (2019),Z69-Z76
133,134,Persons encountering health services for examination and investigation ,Z75.2,Z75,ICD10,Schuettig et al (2019),Z69-Z76
134,135,Persons encountering health services for examination and investigation ,Z76.8,Z76,ICD10,Schuettig et al (2019),Z69-Z76
135,136,Gastroenteritis,A00,A00,ICD10,Sarmento et al (2020),A00-A09
136,137,Gastroenteritis,A01,A01,ICD10,Sarmento et al (2020),A00-A09
137,138,Gastroenteritis,A02,A02,ICD10,Sarmento et al (2020),A00-A09
138,139,Gastroenteritis,A03,A03,ICD10,Sarmento et al (2020),A00-A09
139,140,Gastroenteritis,A04,A04,ICD10,Sarmento et al (2020),A00-A09
140,141,Gastroenteritis,A05,A05,ICD10,Sarmento et al (2020),A00-A09
141,142,Gastroenteritis,A06,A06,ICD10,Sarmento et al (2020),A00-A09
142,143,Gastroenteritis,A07,A07,ICD10,Sarmento et al (2020),A00-A09
143,144,Gastroenteritis,A08,A08,ICD10,Sarmento et al (2020),A00-A09
144,145,Gastroenteritis,A09,A09,ICD10,Sarmento et al (2020),A00-A09
145,146,Tuberculosis,A15,A15,ICD10,Sarmento et al (2020),A15-A19
146,147,Tuberculosis,A16,A16,ICD10,Sarmento et al (2020),ERROR
147,148,Tuberculosis,A17,A17,ICD10,Sarmento et al (2020),A15-A19
148,149,Tetanus,A33,A33,ICD10,Sarmento et al (2020),A30-A49
149,150,Tetanus,A34,A34,ICD10,Sarmento et al (2020),A30-A49
150,151,Tetanus,A35,A35,ICD10,Sarmento et al (2020),A30-A49
151,152,Diphtheria,A36,A36,ICD10,Sarmento et al (2020),A30-A49
152,153,Whooping cough,A37,A37,ICD10,Sarmento et al (2020),A30-A49
153,154,Syphilis,A51,A51,ICD10,Sarmento et al (2020),A50-A64
154,155,Syphilis,A52,A52,ICD10,Sarmento et al (2020),A50-A64
155,156,Syphilis,A53,A53,ICD10,Sarmento et al (2020),A50-A64
156,157,Other diseases caused by chlamydiae,A69.1,A69,ICD10,Sarmento et al (2020),A65-A69
157,158,Acute poliomyelitis,A80,A80,ICD10,Sarmento et al (2020),A80-A89
158,159,Measles,B05,B05,ICD10,Sarmento et al (2020),B00-B09
159,160,Rubella,B06,B06,ICD10,Sarmento et al (2020),B00-B09
160,161,Malignant neoplasms of digestive organs,C18,C18,ICD10,Sarmento et al (2020),C15-C26
161,162,Malignant neoplasms of digestive organs,C19,C19,ICD10,Sarmento et al (2020),C15-C26
162,163,Malignant neoplasms of digestive organs,C20,C20,ICD10,Sarmento et al (2020),C15-C26
163,164,Malignant neoplasms of digestive organs,C21.8,C21,ICD10,Sarmento et al (2020),C15-C26
164,165,Uterine cervical cancer,C53,C53,ICD10,Sarmento et al (2020),C51-C58
165,166,Iron deficiency anemia ,D50,D50,ICD10,Sarmento et al (2020),D50-D53
166,167,Vitamin B12 deficiency anemia,D51,D51,ICD10,Sarmento et al (2020),D50-D53
167,168,Folate deficiency anemia,D52,D52,ICD10,Sarmento et al (2020),D50-D53
168,169,Diabetes Mellitus Type 2,E11,E11,ICD10,Sarmento et al (2020),E08-E13
169,170,Diabetes mellitus (complications) ,E10.1,E10,ICD10,Sarmento et al (2020),E08-E13
170,171,Diabetes mellitus (complications) ,E10.5,E10,ICD10,Sarmento et al (2020),E08-E13
171,172,Diabetes mellitus (complications) ,E10.6,E10,ICD10,Sarmento et al (2020),E08-E13
172,173,Diabetes mellitus (complications) ,E10.8,E10,ICD10,Sarmento et al (2020),E08-E13
173,174,Diabetes mellitus (complications) ,E10.9,E10,ICD10,Sarmento et al (2020),E08-E13
174,175,Diabetes mellitus (complications) ,E11.0,E11,ICD10,Sarmento et al (2020),E08-E13
175,176,Diabetes mellitus (complications) ,E11.1,E11,ICD10,Sarmento et al (2020),E08-E13
176,177,Diabetes mellitus (complications) ,E11.5,E11,ICD10,Sarmento et al (2020),E08-E13
177,178,Diabetes mellitus (complications) ,E11.6,E11,ICD10,Sarmento et al (2020),E08-E13
178,179,Diabetes mellitus (complications) ,E11.8,E11,ICD10,Sarmento et al (2020),E08-E13
179,180,Diabetes mellitus (complications) ,E11.9,E11,ICD10,Sarmento et al (2020),E08-E13
180,181,Diabetes mellitus (complications) ,E12.0,E12,ICD10,Sarmento et al (2020),ERROR
181,182,Diabetes mellitus (complications) ,E12.1,E12,ICD10,Sarmento et al (2020),ERROR
182,183,Diabetes mellitus (complications) ,E12.5,E12,ICD10,Sarmento et al (2020),ERROR
183,184,Diabetes mellitus (complications) ,E12.6,E12,ICD10,Sarmento et al (2020),ERROR
184,185,Diabetes mellitus (complications) ,E12.8,E12,ICD10,Sarmento et al (2020),ERROR
185,186,Diabetes mellitus (complications) ,E12.9,E12,ICD10,Sarmento et al (2020),ERROR
186,187,Diabetes mellitus (complications) ,E13.0,E13,ICD10,Sarmento et al (2020),E08-E13
187,188,Diabetes mellitus (complications) ,E13.1,E13,ICD10,Sarmento et al (2020),E08-E13
188,189,Diabetes mellitus (complications) ,E13.5,E13,ICD10,Sarmento et al (2020),E08-E13
189,190,Diabetes mellitus (complications) ,E13.6,E13,ICD10,Sarmento et al (2020),E08-E13
190,191,Diabetes mellitus (complications) ,E13.8,E13,ICD10,Sarmento et al (2020),E08-E13
191,192,Diabetes mellitus (complications) ,E13.9,E13,ICD10,Sarmento et al (2020),E08-E13
192,193,Diabetes mellitus (complications) ,E14.0,E14,ICD10,Sarmento et al (2020),ERROR
193,194,Diabetes mellitus (complications) ,E14.1,E14,ICD10,Sarmento et al (2020),ERROR
194,195,Diabetes mellitus (complications) ,E14.5,E14,ICD10,Sarmento et al (2020),ERROR
195,196,Diabetes mellitus (complications) ,E14.6,E14,ICD10,Sarmento et al (2020),ERROR
196,197,Diabetes mellitus (complications) ,E14.8,E14,ICD10,Sarmento et al (2020),ERROR
197,198,Diabetes mellitus (complications) ,E14.9,E14,ICD10,Sarmento et al (2020),ERROR
198,199,Diabetes mellitus (complications) ,E15,E15,ICD10,Sarmento et al (2020),E15-E16
199,200,Obesity ,E66,E66,ICD10,Sarmento et al (2020),E65-E68
200,201,Dehydration / Hydroelectrolytic changes,E86,E86,ICD10,Sarmento et al (2020),E70-E88
201,202,Dehydration / Hydroelectrolytic changes,E87.6,E87,ICD10,Sarmento et al (2020),E70-E88
202,203,Dementia ,F01,F01,ICD10,Sarmento et al (2020),F01-F09
203,204,Dementia ,F03,F03,ICD10,Sarmento et al (2020),F01-F09
204,205,Depression,F32,F32,ICD10,Sarmento et al (2020),F30-F39
205,206,Depression,F33,F33,ICD10,Sarmento et al (2020),F30-F39
206,207,Dementia,G30,G30,ICD10,Sarmento et al (2020),G30-G32
207,208,Dementia,G31.0,G31,ICD10,Sarmento et al (2020),G30-G32
208,209,Dementia,G31.8,G31,ICD10,Sarmento et al (2020),G30-G32
209,210,Acute otitis media,H65.0,H65,ICD10,Sarmento et al (2020),H65-H75
210,211,Acute otitis media,H65.1,H65,ICD10,Sarmento et al (2020),H65-H75
211,212,Acute otitis media,H66.0,H66,ICD10,Sarmento et al (2020),H65-H75
212,213,Hypertensive diseases,I10,I10,ICD10,Sarmento et al (2020),I10-I16
213,214,Hypertensive diseases,I11.9,I11,ICD10,Sarmento et al (2020),I10-I16
214,215,Hypertensive diseases,I12,I12,ICD10,Sarmento et al (2020),I10-I16
215,216,Hypertensive diseases,I13.1,I13,ICD10,Sarmento et al (2020),I10-I16
216,217,Hypertensive diseases,I13.9,I13,ICD10,Sarmento et al (2020),I10-I16
217,218,Hypertensive diseases,I15,I15,ICD10,Sarmento et al (2020),I10-I16
218,219,Heart failure ,I11.0,I11,ICD10,Sarmento et al (2020),I10-I16
219,220,Heart failure ,I13.0,I13,ICD10,Sarmento et al (2020),I10-I16
220,221,Heart failure ,I13.2,I13,ICD10,Sarmento et al (2020),I10-I16
221,222,Atrial fibrillation ,I48,I48,ICD10,Sarmento et al (2020),I30-I5A
222,223,Heart failure ,I50,I50,ICD10,Sarmento et al (2020),I30-I5A
223,224,"Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis",I50,I50,ICD10,Sarmento et al (2020),I30-I5A
224,225,Hypertensive diseases,I60,I60,ICD10,Sarmento et al (2020),I60-I69
225,226,Hypertensive diseases,I61,I61,ICD10,Sarmento et al (2020),I60-I69
226,227,Hypertensive diseases,I64,I64,ICD10,Sarmento et al (2020),ERROR
227,228,Hypertensive diseases,I67.4,I67,ICD10,Sarmento et al (2020),I60-I69
228,229,Thromboembolic venous diseasea,I80,I80,ICD10,Sarmento et al (2020),I80-I89
229,230,Thromboembolic venous diseasea,I82.2,I82,ICD10,Sarmento et al (2020),I80-I89
230,231,Thromboembolic venous diseasea,I82.3,I82,ICD10,Sarmento et al (2020),I80-I89
231,232,Thromboembolic venous diseasea,I82.8,I82,ICD10,Sarmento et al (2020),I80-I89
232,233,Thromboembolic venous diseasea,I82.9,I82,ICD10,Sarmento et al (2020),I80-I89
233,234,Acute sinusitis,J01,J01,ICD10,Sarmento et al (2020),J00-J06
234,235,Acute pharyngitis,J02,J02,ICD10,Sarmento et al (2020),J00-J06
235,236,Acute tonsillitis,J03,J03,ICD10,Sarmento et al (2020),J00-J06
236,237,Upper respiratory tract infection,J06,J06,ICD10,Sarmento et al (2020),J00-J06
237,238,Influenza ,J09,J09,ICD10,Sarmento et al (2020),J09-J18
238,239,Influenza ,J10,J10,ICD10,Sarmento et al (2020),J09-J18
239,240,Influenza ,J11,J11,ICD10,Sarmento et al (2020),J09-J18
240,241,Pneumonia ,J13,J13,ICD10,Sarmento et al (2020),J09-J18
241,242,Pneumonia ,J14,J14,ICD10,Sarmento et al (2020),J09-J18
242,243,Pneumonia ,J15.3,J15,ICD10,Sarmento et al (2020),J09-J18
243,244,Pneumonia ,J15.4,J15,ICD10,Sarmento et al (2020),J09-J18
244,245,Pneumonia ,J15.7,J15,ICD10,Sarmento et al (2020),J09-J18
245,246,Pneumonia ,J15.8,J15,ICD10,Sarmento et al (2020),J09-J18
246,247,Pneumonia ,J15.9,J15,ICD10,Sarmento et al (2020),J09-J18
247,248,Pneumonia ,J16.0,J16,ICD10,Sarmento et al (2020),J09-J18
248,249,Pneumonia ,J16.8,J16,ICD10,Sarmento et al (2020),J09-J18
249,250,Pneumonia ,J18,J18,ICD10,Sarmento et al (2020),J09-J18
250,251,Chronic obstructive pulmonary disease / chronic bronchitis,J40,J40,ICD10,Sarmento et al (2020),J40-J47
251,252,Chronic obstructive pulmonary disease / chronic bronchitis,J41,J41,ICD10,Sarmento et al (2020),J40-J47
252,253,Chronic obstructive pulmonary disease / chronic bronchitis,J42,J42,ICD10,Sarmento et al (2020),J40-J47
253,254,Chronic obstructive pulmonary disease / chronic bronchitis,J43,J43,ICD10,Sarmento et al (2020),J40-J47
254,255,Chronic obstructive pulmonary disease / chronic bronchitis,J44,J44,ICD10,Sarmento et al (2020),J40-J47
255,256,Chronic obstructive pulmonary disease / chronic bronchitis,J47,J47,ICD10,Sarmento et al (2020),J40-J47
256,257,Asthma,J45,J45,ICD10,Sarmento et al (2020),J40-J47
257,258,Asthma,J46,J46,ICD10,Sarmento et al (2020),ERROR
258,259,Heart failure ,J81,J81,ICD10,Sarmento et al (2020),J80-J84
259,260,Dental and oral cavity pathology ,K02,K02,ICD10,Sarmento et al (2020),K00-K14
260,261,Dental and oral cavity pathology ,K03,K03,ICD10,Sarmento et al (2020),K00-K14
261,262,Dental and oral cavity pathology ,K04,K04,ICD10,Sarmento et al (2020),K00-K14
262,263,Dental and oral cavity pathology ,K05,K05,ICD10,Sarmento et al (2020),K00-K14
263,264,Dental and oral cavity pathology ,K06,K06,ICD10,Sarmento et al (2020),K00-K14
264,265,Dental and oral cavity pathology ,K08,K08,ICD10,Sarmento et al (2020),K00-K14
265,266,Dental and oral cavity pathology ,K09,K09,ICD10,Sarmento et al (2020),K00-K14
266,267,Dental and oral cavity pathology ,K12,K12,ICD10,Sarmento et al (2020),K00-K14
267,268,Dental and oral cavity pathology ,K13,K13,ICD10,Sarmento et al (2020),K00-K14
268,269,Dental and oral cavity pathology ,K14,K14,ICD10,Sarmento et al (2020),K00-K14
269,270,Acute skin infections ,L01,L01,ICD10,Sarmento et al (2020),L00-L08
270,271,Acute skin infections ,L02,L02,ICD10,Sarmento et al (2020),L00-L08
271,272,Acute skin infections ,L03,L03,ICD10,Sarmento et al (2020),L00-L08
272,273,Acute skin infections ,L04,L04,ICD10,Sarmento et al (2020),L00-L08
273,274,Acute skin infections ,L08,L08,ICD10,Sarmento et al (2020),L00-L08
274,275,Urinary tract infections ,N10,N10,ICD10,Sarmento et al (2020),N10-N16
275,276,Urinary tract infections ,N11,N11,ICD10,Sarmento et al (2020),N10-N16
276,277,Urinary tract infections ,N12,N12,ICD10,Sarmento et al (2020),N10-N16
277,278,Urinary tract infections ,N30.0,N30,ICD10,Sarmento et al (2020),N30-N39
278,279,Urinary tract infections ,N30.8,N30,ICD10,Sarmento et al (2020),N30-N39
279,280,Urinary tract infections ,N30.9,N30,ICD10,Sarmento et al (2020),N30-N39
280,281,Urinary tract infections in pregnancy,O23.0,O23,ICD10,Sarmento et al (2020),O20-O29
281,282,Urinary tract infections in pregnancy,O23.1,O23,ICD10,Sarmento et al (2020),O20-O29
282,283,Urinary tract infections in pregnancy,O23.2,O23,ICD10,Sarmento et al (2020),O20-O29
283,284,Urinary tract infections in pregnancy,O23.3,O23,ICD10,Sarmento et al (2020),O20-O29
284,285,Urinary tract infections in pregnancy,O23.4,O23,ICD10,Sarmento et al (2020),O20-O29
285,286,Urinary tract infections in pregnancy,O23.9,O23,ICD10,Sarmento et al (2020),O20-O29
286,287,Superficial injuries,T00.9,T00,ICD10,Sarmento et al (2020),ERROR
287,288,Superficial injuries,T14.0,T14,ICD10,Sarmento et al (2020),T14-T14
288,289,Superficial injuries,T14.03,T14,ICD10,Sarmento et al (2020),T14-T14
289,290,Voluntary termination of pregnancy,Z33.2,Z33,ICD10,Sarmento et al (2020),Z30-Z39
290,291,Otras tuberculosis ,12,12,ICD9,Caminal et al (2001),08-16.99
291,292,Otras tuberculosis ,13,13,ICD9,Caminal et al (2001),08-16.99
292,293,Otras tuberculosis ,14,14,ICD9,Caminal et al (2001),08-16.99
293,294,Otras tuberculosis ,15,15,ICD9,Caminal et al (2001),08-16.99
294,295,Otras tuberculosis ,16,16,ICD9,Caminal et al (2001),08-16.99
295,296,Otras tuberculosis ,17,17,ICD9,Caminal et al (2001),17-17.99
296,297,Otras tuberculosis ,18,18,ICD9,Caminal et al (2001),18-20.99
297,298,Difteria,32,32,ICD9,Caminal et al (2001),30-34.99
298,299,Tétanos,37,37,ICD9,Caminal et al (2001),35-39.99
299,300,Poliomielitis aguda,45,45,ICD9,Caminal et al (2001),42-54.99
300,301,Sífilis congénita,90,90,ICD9,Caminal et al (2001),87-99.99
301,302,Diabetes con complicaciones generales agudas ,250.1,250,ICD9,Caminal et al (2001),249-259.99
302,303,Diabetes con complicaciones generales agudas ,250.2,250,ICD9,Caminal et al (2001),249-259.99
303,304,Diabetes con complicaciones generales agudas ,250.3,250,ICD9,Caminal et al (2001),249-259.99
304,305,Coma hipoglucémico ,251.0,251,ICD9,Caminal et al (2001),249-259.99
305,306,Gangrena  (785.4) + diabetes con trastornos circulatorios periféricos (250.7),785.4,785,ICD9,Caminal et al (2001),780-789.99
