,id,original_description,code,nearest_level1_code,original_code_system,article,code_description,level1_code_description
18,19,Diseases of the nervous system,G58.0,G58,ICD10,Schuettig et al (2019),Intercostal neuropathy,Other mononeuropathies
19,20,Diseases of the eye and adnex,H10.9,H10,ICD10,Schuettig et al (2019),Unspecified conjunctivitis,Conjunctivitis
20,21,Diseases of the ear and mastoid process,H91.2,H91,ICD10,Schuettig et al (2019),Sudden idiopathic hearing loss,Other and unspecified hearing loss
21,22,Diseases of the ear and mastoid process,H93.1,H93,ICD10,Schuettig et al (2019),Tinnitus,"Other disorders of ear, not elsewhere classified"
22,23,Hypertensive diseases,I10.0,I10,ICD10,Schuettig et al (2019),ERROR,Essential (primary) hypertension
23,24,Hypertensive diseases,I10.9,I10,ICD10,Schuettig et al (2019),ERROR,Essential (primary) hypertension
24,25,Diseases of the circulatory system,I80,I80,ICD10,Schuettig et al (2019),Phlebitis and thrombophlebitis,Phlebitis and thrombophlebitis
25,26,Diseases of the circulatory system,I83,I83,ICD10,Schuettig et al (2019),Varicose veins of lower extremities,Varicose veins of lower extremities
26,27,ENT infections,J00,J00,ICD10,Schuettig et al (2019),Acute nasopharyngitis [common cold],Acute nasopharyngitis [common cold]
27,28,ENT infections,J02.9,J02,ICD10,Schuettig et al (2019),"Acute pharyngitis, unspecified",Acute pharyngitis
28,29,ENT infections,J03.9,J03,ICD10,Schuettig et al (2019),"Acute tonsillitis, unspecified",Acute tonsillitis
29,30,ENT infections,J04.0,J04,ICD10,Schuettig et al (2019),Acute laryngitis,Acute laryngitis and tracheitis
30,31,ENT infections,J06.8,J06,ICD10,Schuettig et al (2019),ERROR,Acute upper respiratory infections of multiple and unspecified sites
31,32,ENT infections,J06.9,J06,ICD10,Schuettig et al (2019),"Acute upper respiratory infection, unspecified",Acute upper respiratory infections of multiple and unspecified sites
32,33,ENT infections,J20.9,J20,ICD10,Schuettig et al (2019),"Acute bronchitis, unspecified",Acute bronchitis
33,34,Bronchitis,J40,J40,ICD10,Schuettig et al (2019),"Bronchitis, not specified as acute or chronic","Bronchitis, not specified as acute or chronic"
34,35,"Diseases of oral cavity, salivary glands and jaws",K11.2,K11,ICD10,Schuettig et al (2019),Sialoadenitis,Diseases of salivary glands
35,36,"Diseases of oral cavity, salivary glands and jaws",K12.0,K12,ICD10,Schuettig et al (2019),Recurrent oral aphthae,Stomatitis and related lesions
36,37,"Diseases of oral cavity, salivary glands and jaws",K14.0,K14,ICD10,Schuettig et al (2019),Glossitis,Diseases of tongue
37,38,Diseases of the digestive system,K52.9,K52,ICD10,Schuettig et al (2019),"Noninfective gastroenteritis and colitis, unspecified",Other and unspecified noninfective gastroenteritis and colitis
38,39,Diseases of the digestive system,K59.0,K59,ICD10,Schuettig et al (2019),Constipation,Other functional intestinal disorders
39,40,Diseases of the digestive system,K59.1,K59,ICD10,Schuettig et al (2019),Functional diarrhea,Other functional intestinal disorders
40,41,Infections of the skin and subcutaneous tissue,L03.0,L03,ICD10,Schuettig et al (2019),Cellulitis and acute lymphangitis of finger and toe,Cellulitis and acute lymphangitis
41,42,"Dermatitis, eczema and other disease of the skin",L20.8,L20,ICD10,Schuettig et al (2019),Other atopic dermatitis,Atopic dermatitis
42,43,"Dermatitis, eczema and other disease of the skin",L20.9,L20,ICD10,Schuettig et al (2019),"Atopic dermatitis, unspecified",Atopic dermatitis
43,44,"Dermatitis, eczema and other disease of the skin",L22,L22,ICD10,Schuettig et al (2019),Diaper dermatitis,Diaper dermatitis
44,45,"Dermatitis, eczema and other disease of the skin",L23.2,L23,ICD10,Schuettig et al (2019),Allergic contact dermatitis due to cosmetics,Allergic contact dermatitis
45,46,"Dermatitis, eczema and other disease of the skin",L23.4,L23,ICD10,Schuettig et al (2019),Allergic contact dermatitis due to dyes,Allergic contact dermatitis
46,47,Arthropathies,M10.0,M10,ICD10,Schuettig et al (2019),Idiopathic gout,Gout
47,48,Arthropathies,M25.5,M25,ICD10,Schuettig et al (2019),Pain in joint,"Other joint disorder, not elsewhere classified"
48,49,Back pain,M54.1,M54,ICD10,Schuettig et al (2019),Radiculopathy,Dorsalgia
49,50,Back pain,M54.2,M54,ICD10,Schuettig et al (2019),Cervicalgia,Dorsalgia
50,51,Back pain,M54.4,M54,ICD10,Schuettig et al (2019),Lumbago with sciatica,Dorsalgia
51,52,Back pain,M54.5,M54,ICD10,Schuettig et al (2019),Low back pain,Dorsalgia
52,53,Back pain,M54.6,M54,ICD10,Schuettig et al (2019),Pain in thoracic spine,Dorsalgia
53,54,Back pain,M54.8,M54,ICD10,Schuettig et al (2019),Other dorsalgia,Dorsalgia
54,55,Back pain,M54.9,M54,ICD10,Schuettig et al (2019),"Dorsalgia, unspecified",Dorsalgia
55,56,Soft tissue disorders,M62.6,M62,ICD10,Schuettig et al (2019),ERROR,Other disorders of muscle
56,57,Soft tissue disorders,M79.0,M79,ICD10,Schuettig et al (2019),"Rheumatism, unspecified","Other and unspecified soft tissue disorders, not elsewhere classified"
57,58,Soft tissue disorders,M79.2,M79,ICD10,Schuettig et al (2019),"Neuralgia and neuritis, unspecified","Other and unspecified soft tissue disorders, not elsewhere classified"
58,59,Soft tissue disorders,M79.6,M79,ICD10,Schuettig et al (2019),"Pain in limb, hand, foot, fingers and toes","Other and unspecified soft tissue disorders, not elsewhere classified"
59,60,Biomechanical lesions,M99.8,M99,ICD10,Schuettig et al (2019),Other biomechanical lesions,"Biomechanical lesions, not elsewhere classified"
60,61,Diseases of the genitourinary system,N12,N12,ICD10,Schuettig et al (2019),"Tubulo-interstitial nephritis, not specified as acute or chronic","Tubulo-interstitial nephritis, not specified as acute or chronic"
61,62,Diseases of the genitourinary system,N28.8,N28,ICD10,Schuettig et al (2019),Other specified disorders of kidney and ureter,"Other disorders of kidney and ureter, not elsewhere classified"
62,63,Diseases and symptoms of urinary system,N30.0,N30,ICD10,Schuettig et al (2019),Acute cystitis,Cystitis
63,64,Diseases and symptoms of urinary system,N39.0,N39,ICD10,Schuettig et al (2019),"Urinary tract infection, site not specified",Other disorders of urinary system
64,65,Diseases of male genital organs,N41.1,N41,ICD10,Schuettig et al (2019),Chronic prostatitis,Inflammatory diseases of prostate
65,66,Diseases of male genital organs,N45.9,N45,ICD10,Schuettig et al (2019),ERROR,Orchitis and epididymitis
66,67,Diseases of male genital organs,N48.1,N48,ICD10,Schuettig et al (2019),Balanitis,Other disorders of penis
67,68,Symptoms and signs involving the circulatory and respiratory systems,R04.0,R04,ICD10,Schuettig et al (2019),Epistaxis,Hemorrhage from respiratory passages
68,69,Symptoms and signs involving the circulatory and respiratory systems,R05,R05,ICD10,Schuettig et al (2019),Cough,Cough
69,70,Symptoms and signs involving the circulatory and respiratory systems,R06.4,R06,ICD10,Schuettig et al (2019),Hyperventilation,Abnormalities of breathing
70,71,Symptoms and signs involving the circulatory and respiratory systems,R10.1,R10,ICD10,Schuettig et al (2019),Pain localized to upper abdomen,Abdominal and pelvic pain
71,72,Symptoms and signs involving the circulatory and respiratory systems,R10.3,R10,ICD10,Schuettig et al (2019),Pain localized to other parts of lower abdomen,Abdominal and pelvic pain
72,73,Symptoms and signs involving the circulatory and respiratory systems,R10.4,R10,ICD10,Schuettig et al (2019),ERROR,Abdominal and pelvic pain
73,74,Symptoms and signs involving the circulatory and respiratory systems,R11,R11,ICD10,Schuettig et al (2019),Nausea and vomiting,Nausea and vomiting
74,75,"Dermatitis, eczema and other disease of the skin",R21,R21,ICD10,Schuettig et al (2019),Rash and other nonspecific skin eruption,Rash and other nonspecific skin eruption
75,76,Diseases and symptoms of urinary system,R30.0,R30,ICD10,Schuettig et al (2019),Dysuria,Pain associated with micturition
76,77,Diseases and symptoms of urinary system,R32,R32,ICD10,Schuettig et al (2019),Unspecified urinary incontinence,Unspecified urinary incontinence
77,78,General symptoms and signs,R50,R50,ICD10,Schuettig et al (2019),Fever of other and unknown origin,Fever of other and unknown origin
78,79,General symptoms and signs,R51,R51,ICD10,Schuettig et al (2019),Headache,Headache
79,80,General symptoms and signs,R52.9,R52,ICD10,Schuettig et al (2019),ERROR,"Pain, unspecified"
80,81,General symptoms and signs,R53,R53,ICD10,Schuettig et al (2019),Malaise and fatigue,Malaise and fatigue
81,82,Superficial injuries,S00.0,S00,ICD10,Schuettig et al (2019),Superficial injury of scalp,Superficial injury of head
82,83,Superficial injuries,S00.03,S00,ICD10,Schuettig et al (2019),Contusion of scalp,Superficial injury of head
83,84,Superficial injuries,S00.3,S00,ICD10,Schuettig et al (2019),Superficial injury of nose,Superficial injury of head
84,85,Superficial injuries,S00.8,S00,ICD10,Schuettig et al (2019),Superficial injury of other parts of head,Superficial injury of head
85,86,Superficial injuries,S00.9,S00,ICD10,Schuettig et al (2019),Superficial injury of unspecified part of head,Superficial injury of head
86,87,Superficial injuries,S30.0,S30,ICD10,Schuettig et al (2019),Contusion of lower back and pelvis,"Superficial injury of abdomen, lower back, pelvis and external genitals"
87,88,Superficial injuries,S40.0,S40,ICD10,Schuettig et al (2019),Contusion of shoulder and upper arm,Superficial injury of shoulder and upper arm
88,89,Superficial injuries,S50.0,S50,ICD10,Schuettig et al (2019),Contusion of elbow,Superficial injury of elbow and forearm
89,90,Superficial injuries,S50.1,S50,ICD10,Schuettig et al (2019),Contusion of forearm,Superficial injury of elbow and forearm
90,91,Superficial injuries,S50.8,S50,ICD10,Schuettig et al (2019),Other superficial injuries of forearm,Superficial injury of elbow and forearm
91,92,Superficial injuries,S60.0,S60,ICD10,Schuettig et al (2019),Contusion of finger without damage to nail,"Superficial injury of wrist, hand and fingers"
92,93,Superficial injuries,S60.2,S60,ICD10,Schuettig et al (2019),Contusion of wrist and hand,"Superficial injury of wrist, hand and fingers"
93,94,Superficial injuries,S60.8,S60,ICD10,Schuettig et al (2019),Other superficial injuries of wrist,"Superficial injury of wrist, hand and fingers"
94,95,Superficial injuries,S70.0,S70,ICD10,Schuettig et al (2019),Contusion of hip,Superficial injury of hip and thigh
95,96,Superficial injuries,S80.0,S80,ICD10,Schuettig et al (2019),Contusion of knee,Superficial injury of knee and lower leg
96,97,Superficial injuries,S80.1,S80,ICD10,Schuettig et al (2019),Contusion of lower leg,Superficial injury of knee and lower leg
97,98,Superficial injuries,S80.8,S80,ICD10,Schuettig et al (2019),Other superficial injuries of lower leg,Superficial injury of knee and lower leg
98,99,"Contusion, sprain and strain",S20.2,S20,ICD10,Schuettig et al (2019),Contusion of thorax,Superficial injury of thorax
99,100,"Contusion, sprain and strain",S63.5,S63,ICD10,Schuettig et al (2019),Other and unspecified sprain of wrist,Dislocation and sprain of joints and ligaments at wrist and hand level
100,101,"Contusion, sprain and strain",S63.6,S63,ICD10,Schuettig et al (2019),Other and unspecified sprain of finger(s),Dislocation and sprain of joints and ligaments at wrist and hand level
101,102,"Contusion, sprain and strain",S83.6,S83,ICD10,Schuettig et al (2019),Sprain of the superior tibiofibular joint and ligament,Dislocation and sprain of joints and ligaments of knee
102,103,Fractures and injuries,S92.5,S92,ICD10,Schuettig et al (2019),Fracture of lesser toe(s),"Fracture of foot and toe, except ankle"
103,104,Superficial injuries,S90.1,S90,ICD10,Schuettig et al (2019),Contusion of toe without damage to nail,"Superficial injury of ankle, foot and toes"
104,105,Superficial injuries,S90.3,S90,ICD10,Schuettig et al (2019),Contusion of foot,"Superficial injury of ankle, foot and toes"
105,106,"Contusion, sprain and strain",S93.4,S93,ICD10,Schuettig et al (2019),Sprain of ankle,"Dislocation and sprain of joints and ligaments at ankle, foot and toe level"
106,107,"Contusion, sprain and strain",S93.6,S93,ICD10,Schuettig et al (2019),Sprain of foot,"Dislocation and sprain of joints and ligaments at ankle, foot and toe level"
107,108,Effects of external causes,T67.6,T67,ICD10,Schuettig et al (2019),"Heat fatigue, transient",Effects of heat and light
108,109,Effects of external causes,T75.2,T75,ICD10,Schuettig et al (2019),Effects of vibration,Other and unspecified effects of other external causes
109,110,Effects of external causes,T78.4,T78,ICD10,Schuettig et al (2019),Other and unspecified allergy,"Adverse effects, not elsewhere classified"
110,111,Effects of external causes,T83.0,T83,ICD10,Schuettig et al (2019),Mechanical complication of urinary catheter,"Complications of genitourinary prosthetic devices, implants and grafts"
111,112,Persons encountering health services for examination and investigation ,Z01,Z01,ICD10,Schuettig et al (2019),"Encounter for other special examination without complaint, suspected or reported diagnosis","Encounter for other special examination without complaint, suspected or reported diagnosis"
112,113,Persons encountering health services for examination and investigation ,Z09,Z09,ICD10,Schuettig et al (2019),Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm
113,114,Persons with potential health hazards related to communicable diseases,Z23,Z23,ICD10,Schuettig et al (2019),Encounter for immunization,Encounter for immunization
114,115,Persons with potential health hazards related to communicable diseases,Z24.4,Z24,ICD10,Schuettig et al (2019),ERROR,ERROR
115,116,Persons with potential health hazards related to communicable diseases,Z24.5,Z24,ICD10,Schuettig et al (2019),ERROR,ERROR
116,117,Persons with potential health hazards related to communicable diseases,Z24.6,Z24,ICD10,Schuettig et al (2019),ERROR,ERROR
117,118,Persons with potential health hazards related to communicable diseases,Z25.8,Z25,ICD10,Schuettig et al (2019),ERROR,ERROR
118,119,Persons with potential health hazards related to communicable diseases,Z27.4,Z27,ICD10,Schuettig et al (2019),ERROR,ERROR
119,120,Persons with potential health hazards related to communicable diseases,Z29.8,Z29,ICD10,Schuettig et al (2019),Encounter for other specified prophylactic measures,Encounter for other prophylactic measures
120,121,Persons encountering health services for specific procedures and health care,Z41.9,Z41,ICD10,Schuettig et al (2019),"Encounter for procedure for purposes other than remedying health state, unspecified",Encounter for procedures for purposes other than remedying health state
121,122,Persons encountering health services for specific procedures and health care,Z43.0,Z43,ICD10,Schuettig et al (2019),Encounter for attention to tracheostomy,Encounter for attention to artificial openings
122,123,Persons encountering health services for specific procedures and health care,Z43.2,Z43,ICD10,Schuettig et al (2019),Encounter for attention to ileostomy,Encounter for attention to artificial openings
123,124,Persons encountering health services for specific procedures and health care,Z43.3,Z43,ICD10,Schuettig et al (2019),Encounter for attention to colostomy,Encounter for attention to artificial openings
124,125,Persons encountering health services for specific procedures and health care,Z47.8,Z47,ICD10,Schuettig et al (2019),Encounter for other orthopedic aftercare,Orthopedic aftercare
125,126,Persons encountering health services for specific procedures and health care,Z47.9,Z47,ICD10,Schuettig et al (2019),ERROR,Orthopedic aftercare
126,127,Persons encountering health services for specific procedures and health care,Z48.0,Z48,ICD10,Schuettig et al (2019),"Encounter for attention to dressings, sutures and drains",Encounter for other postprocedural aftercare
127,128,Persons encountering health services for specific procedures and health care,Z48.8,Z48,ICD10,Schuettig et al (2019),Encounter for other specified postprocedural aftercare,Encounter for other postprocedural aftercare
128,129,Persons encountering health services for specific procedures and health care,Z48.9,Z48,ICD10,Schuettig et al (2019),ERROR,Encounter for other postprocedural aftercare
129,130,Persons encountering health services for specific procedures and health care,Z59,Z59,ICD10,Schuettig et al (2019),Problems related to housing and economic circumstances,Problems related to housing and economic circumstances
130,131,Persons encountering health services for specific procedures and health care,Z63,Z63,ICD10,Schuettig et al (2019),"Other problems related to primary support group, including family circumstances","Other problems related to primary support group, including family circumstances"
131,132,Persons encountering health services for examination and investigation ,Z72.8,Z72,ICD10,Schuettig et al (2019),Other problems related to lifestyle,Problems related to lifestyle
132,133,Persons encountering health services for examination and investigation ,Z74.8,Z74,ICD10,Schuettig et al (2019),Other problems related to care provider dependency,Problems related to care provider dependency
133,134,Persons encountering health services for examination and investigation ,Z75.2,Z75,ICD10,Schuettig et al (2019),Other waiting period for investigation and treatment,Problems related to medical facilities and other health care
134,135,Persons encountering health services for examination and investigation ,Z76.8,Z76,ICD10,Schuettig et al (2019),Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
135,136,Gastroenteritis,A00,A00,ICD10,Sarmento et al (2020),Cholera,Cholera
136,137,Gastroenteritis,A01,A01,ICD10,Sarmento et al (2020),Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers
137,138,Gastroenteritis,A02,A02,ICD10,Sarmento et al (2020),Other salmonella infections,Other salmonella infections
138,139,Gastroenteritis,A03,A03,ICD10,Sarmento et al (2020),Shigellosis,Shigellosis
139,140,Gastroenteritis,A04,A04,ICD10,Sarmento et al (2020),Other bacterial intestinal infections,Other bacterial intestinal infections
140,141,Gastroenteritis,A05,A05,ICD10,Sarmento et al (2020),"Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified"
141,142,Gastroenteritis,A06,A06,ICD10,Sarmento et al (2020),Amebiasis,Amebiasis
142,143,Gastroenteritis,A07,A07,ICD10,Sarmento et al (2020),Other protozoal intestinal diseases,Other protozoal intestinal diseases
143,144,Gastroenteritis,A08,A08,ICD10,Sarmento et al (2020),Viral and other specified intestinal infections,Viral and other specified intestinal infections
144,145,Gastroenteritis,A09,A09,ICD10,Sarmento et al (2020),"Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified"
145,146,Tuberculosis,A15,A15,ICD10,Sarmento et al (2020),Respiratory tuberculosis,Respiratory tuberculosis
146,147,Tuberculosis,A16,A16,ICD10,Sarmento et al (2020),ERROR,ERROR
147,148,Tuberculosis,A17,A17,ICD10,Sarmento et al (2020),Tuberculosis of nervous system,Tuberculosis of nervous system
148,149,Tetanus,A33,A33,ICD10,Sarmento et al (2020),Tetanus neonatorum,Tetanus neonatorum
149,150,Tetanus,A34,A34,ICD10,Sarmento et al (2020),Obstetrical tetanus,Obstetrical tetanus
150,151,Tetanus,A35,A35,ICD10,Sarmento et al (2020),Other tetanus,Other tetanus
151,152,Diphtheria,A36,A36,ICD10,Sarmento et al (2020),Diphtheria,Diphtheria
152,153,Whooping cough,A37,A37,ICD10,Sarmento et al (2020),Whooping cough,Whooping cough
153,154,Syphilis,A51,A51,ICD10,Sarmento et al (2020),Early syphilis,Early syphilis
154,155,Syphilis,A52,A52,ICD10,Sarmento et al (2020),Late syphilis,Late syphilis
155,156,Syphilis,A53,A53,ICD10,Sarmento et al (2020),Other and unspecified syphilis,Other and unspecified syphilis
156,157,Other diseases caused by chlamydiae,A69.1,A69,ICD10,Sarmento et al (2020),Other Vincent's infections,Other spirochetal infections
157,158,Acute poliomyelitis,A80,A80,ICD10,Sarmento et al (2020),Acute poliomyelitis,Acute poliomyelitis
158,159,Measles,B05,B05,ICD10,Sarmento et al (2020),Measles,Measles
159,160,Rubella,B06,B06,ICD10,Sarmento et al (2020),Rubella [German measles],Rubella [German measles]
160,161,Malignant neoplasms of digestive organs,C18,C18,ICD10,Sarmento et al (2020),Malignant neoplasm of colon,Malignant neoplasm of colon
161,162,Malignant neoplasms of digestive organs,C19,C19,ICD10,Sarmento et al (2020),Malignant neoplasm of rectosigmoid junction,Malignant neoplasm of rectosigmoid junction
162,163,Malignant neoplasms of digestive organs,C20,C20,ICD10,Sarmento et al (2020),Malignant neoplasm of rectum,Malignant neoplasm of rectum
163,164,Malignant neoplasms of digestive organs,C21.8,C21,ICD10,Sarmento et al (2020),"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",Malignant neoplasm of anus and anal canal
164,165,Uterine cervical cancer,C53,C53,ICD10,Sarmento et al (2020),Malignant neoplasm of cervix uteri,Malignant neoplasm of cervix uteri
165,166,Iron deficiency anemia ,D50,D50,ICD10,Sarmento et al (2020),Iron deficiency anemia,Iron deficiency anemia
166,167,Vitamin B12 deficiency anemia,D51,D51,ICD10,Sarmento et al (2020),Vitamin B12 deficiency anemia,Vitamin B12 deficiency anemia
167,168,Folate deficiency anemia,D52,D52,ICD10,Sarmento et al (2020),Folate deficiency anemia,Folate deficiency anemia
168,169,Diabetes Mellitus Type 2,E11,E11,ICD10,Sarmento et al (2020),Type 2 diabetes mellitus,Type 2 diabetes mellitus
169,170,Diabetes mellitus (complications) ,E10.1,E10,ICD10,Sarmento et al (2020),Type 1 diabetes mellitus with ketoacidosis,Type 1 diabetes mellitus
170,171,Diabetes mellitus (complications) ,E10.5,E10,ICD10,Sarmento et al (2020),Type 1 diabetes mellitus with circulatory complications,Type 1 diabetes mellitus
171,172,Diabetes mellitus (complications) ,E10.6,E10,ICD10,Sarmento et al (2020),Type 1 diabetes mellitus with other specified complications,Type 1 diabetes mellitus
172,173,Diabetes mellitus (complications) ,E10.8,E10,ICD10,Sarmento et al (2020),Type 1 diabetes mellitus with unspecified complications,Type 1 diabetes mellitus
173,174,Diabetes mellitus (complications) ,E10.9,E10,ICD10,Sarmento et al (2020),Type 1 diabetes mellitus without complications,Type 1 diabetes mellitus
174,175,Diabetes mellitus (complications) ,E11.0,E11,ICD10,Sarmento et al (2020),Type 2 diabetes mellitus with hyperosmolarity,Type 2 diabetes mellitus
175,176,Diabetes mellitus (complications) ,E11.1,E11,ICD10,Sarmento et al (2020),Type 2 diabetes mellitus with ketoacidosis,Type 2 diabetes mellitus
176,177,Diabetes mellitus (complications) ,E11.5,E11,ICD10,Sarmento et al (2020),Type 2 diabetes mellitus with circulatory complications,Type 2 diabetes mellitus
177,178,Diabetes mellitus (complications) ,E11.6,E11,ICD10,Sarmento et al (2020),Type 2 diabetes mellitus with other specified complications,Type 2 diabetes mellitus
178,179,Diabetes mellitus (complications) ,E11.8,E11,ICD10,Sarmento et al (2020),Type 2 diabetes mellitus with unspecified complications,Type 2 diabetes mellitus
179,180,Diabetes mellitus (complications) ,E11.9,E11,ICD10,Sarmento et al (2020),Type 2 diabetes mellitus without complications,Type 2 diabetes mellitus
180,181,Diabetes mellitus (complications) ,E12.0,E12,ICD10,Sarmento et al (2020),ERROR,ERROR
181,182,Diabetes mellitus (complications) ,E12.1,E12,ICD10,Sarmento et al (2020),ERROR,ERROR
182,183,Diabetes mellitus (complications) ,E12.5,E12,ICD10,Sarmento et al (2020),ERROR,ERROR
183,184,Diabetes mellitus (complications) ,E12.6,E12,ICD10,Sarmento et al (2020),ERROR,ERROR
184,185,Diabetes mellitus (complications) ,E12.8,E12,ICD10,Sarmento et al (2020),ERROR,ERROR
185,186,Diabetes mellitus (complications) ,E12.9,E12,ICD10,Sarmento et al (2020),ERROR,ERROR
186,187,Diabetes mellitus (complications) ,E13.0,E13,ICD10,Sarmento et al (2020),Other specified diabetes mellitus with hyperosmolarity,Other specified diabetes mellitus
187,188,Diabetes mellitus (complications) ,E13.1,E13,ICD10,Sarmento et al (2020),Other specified diabetes mellitus with ketoacidosis,Other specified diabetes mellitus
188,189,Diabetes mellitus (complications) ,E13.5,E13,ICD10,Sarmento et al (2020),Other specified diabetes mellitus with circulatory complications,Other specified diabetes mellitus
189,190,Diabetes mellitus (complications) ,E13.6,E13,ICD10,Sarmento et al (2020),Other specified diabetes mellitus with other specified complications,Other specified diabetes mellitus
190,191,Diabetes mellitus (complications) ,E13.8,E13,ICD10,Sarmento et al (2020),Other specified diabetes mellitus with unspecified complications,Other specified diabetes mellitus
191,192,Diabetes mellitus (complications) ,E13.9,E13,ICD10,Sarmento et al (2020),Other specified diabetes mellitus without complications,Other specified diabetes mellitus
192,193,Diabetes mellitus (complications) ,E14.0,E14,ICD10,Sarmento et al (2020),ERROR,ERROR
193,194,Diabetes mellitus (complications) ,E14.1,E14,ICD10,Sarmento et al (2020),ERROR,ERROR
194,195,Diabetes mellitus (complications) ,E14.5,E14,ICD10,Sarmento et al (2020),ERROR,ERROR
195,196,Diabetes mellitus (complications) ,E14.6,E14,ICD10,Sarmento et al (2020),ERROR,ERROR
196,197,Diabetes mellitus (complications) ,E14.8,E14,ICD10,Sarmento et al (2020),ERROR,ERROR
197,198,Diabetes mellitus (complications) ,E14.9,E14,ICD10,Sarmento et al (2020),ERROR,ERROR
198,199,Diabetes mellitus (complications) ,E15,E15,ICD10,Sarmento et al (2020),Nondiabetic hypoglycemic coma,Nondiabetic hypoglycemic coma
199,200,Obesity ,E66,E66,ICD10,Sarmento et al (2020),Overweight and obesity,Overweight and obesity
200,201,Dehydration / Hydroelectrolytic changes,E86,E86,ICD10,Sarmento et al (2020),Volume depletion,Volume depletion
201,202,Dehydration / Hydroelectrolytic changes,E87.6,E87,ICD10,Sarmento et al (2020),Hypokalemia,"Other disorders of fluid, electrolyte and acid-base balance"
202,203,Dementia ,F01,F01,ICD10,Sarmento et al (2020),Vascular dementia,Vascular dementia
203,204,Dementia ,F03,F03,ICD10,Sarmento et al (2020),Unspecified dementia,Unspecified dementia
204,205,Depression,F32,F32,ICD10,Sarmento et al (2020),Depressive episode,Depressive episode
205,206,Depression,F33,F33,ICD10,Sarmento et al (2020),"Major depressive disorder, recurrent","Major depressive disorder, recurrent"
206,207,Dementia,G30,G30,ICD10,Sarmento et al (2020),Alzheimer's disease,Alzheimer's disease
207,208,Dementia,G31.0,G31,ICD10,Sarmento et al (2020),Frontotemporal dementia,"Other degenerative diseases of nervous system, not elsewhere classified"
208,209,Dementia,G31.8,G31,ICD10,Sarmento et al (2020),Other specified degenerative diseases of nervous system,"Other degenerative diseases of nervous system, not elsewhere classified"
209,210,Acute otitis media,H65.0,H65,ICD10,Sarmento et al (2020),Acute serous otitis media,Nonsuppurative otitis media
210,211,Acute otitis media,H65.1,H65,ICD10,Sarmento et al (2020),Other acute nonsuppurative otitis media,Nonsuppurative otitis media
211,212,Acute otitis media,H66.0,H66,ICD10,Sarmento et al (2020),Acute suppurative otitis media,Suppurative and unspecified otitis media
212,213,Hypertensive diseases,I10,I10,ICD10,Sarmento et al (2020),Essential (primary) hypertension,Essential (primary) hypertension
