id;original_description;code;nearest_level1_code;original_code_system;article;code_description;level1_code_description;umls_cui;level1_umls_cui
80;General symptoms and signs;R52.9;R52;ICD10;Schuettig et al (2019);ERROR;Pain, unspecified;ERROR - atom;C0281856
81;General symptoms and signs;R53;R53;ICD10;Schuettig et al (2019);Malaise and fatigue;Malaise and fatigue;C0024528;C0024528
82;Superficial injuries;S00.0;S00;ICD10;Schuettig et al (2019);Superficial injury of scalp;Superficial injury of head;C0347539;C0347536
83;Superficial injuries;S00.03;S00;ICD10;Schuettig et al (2019);Contusion of scalp;Superficial injury of head;;C0347536
84;Superficial injuries;S00.3;S00;ICD10;Schuettig et al (2019);Superficial injury of nose;Superficial injury of head;C0392046;C0347536
85;Superficial injuries;S00.8;S00;ICD10;Schuettig et al (2019);Superficial injury of other parts of head;Superficial injury of head;;C0347536
86;Superficial injuries;S00.9;S00;ICD10;Schuettig et al (2019);Superficial injury of unspecified part of head;Superficial injury of head;C0347536;C0347536
87;Superficial injuries;S30.0;S30;ICD10;Schuettig et al (2019);Contusion of lower back and pelvis;Superficial injury of abdomen, lower back, pelvis and external genitals;;C2836767
88;Superficial injuries;S40.0;S40;ICD10;Schuettig et al (2019);Contusion of shoulder and upper arm;Superficial injury of shoulder and upper arm;C0160932;C0160840
89;Superficial injuries;S50.0;S50;ICD10;Schuettig et al (2019);Contusion of elbow;Superficial injury of elbow and forearm;C0432763;C2843635
90;Superficial injuries;S50.1;S50;ICD10;Schuettig et al (2019);Contusion of forearm;Superficial injury of elbow and forearm;C0432762;C2843635
91;Superficial injuries;S50.8;S50;ICD10;Schuettig et al (2019);Other superficial injuries of forearm;Superficial injury of elbow and forearm;C0478285;C2843635
92;Superficial injuries;S60.0;S60;ICD10;Schuettig et al (2019);Contusion of finger without damage to nail;Superficial injury of wrist, hand and fingers;C0495893;C2848915
93;Superficial injuries;S60.2;S60;ICD10;Schuettig et al (2019);Contusion of wrist and hand;Superficial injury of wrist, hand and fingers;C0432765;C2848915
94;Superficial injuries;S60.8;S60;ICD10;Schuettig et al (2019);Other superficial injuries of wrist;Superficial injury of wrist, hand and fingers;C2849480;C2848915
95;Superficial injuries;S70.0;S70;ICD10;Schuettig et al (2019);Contusion of hip;Superficial injury of hip and thigh;C0160950;C0495927
96;Superficial injuries;S80.0;S80;ICD10;Schuettig et al (2019);Contusion of knee;Superficial injury of knee and lower leg;C0160953;C2860302
97;Superficial injuries;S80.1;S80;ICD10;Schuettig et al (2019);Contusion of lower leg;Superficial injury of knee and lower leg;C0160952;C2860302
98;Superficial injuries;S80.8;S80;ICD10;Schuettig et al (2019);Other superficial injuries of lower leg;Superficial injury of knee and lower leg;C0478334;C2860302
99;Contusion, sprain and strain;S20.2;S20;ICD10;Schuettig et al (2019);Contusion of thorax;Superficial injury of thorax;C1439254;C1439255
100;Contusion, sprain and strain;S63.5;S63;ICD10;Schuettig et al (2019);Other and unspecified sprain of wrist;Dislocation and sprain of joints and ligaments at wrist and hand level;C2854156;
101;Contusion, sprain and strain;S63.6;S63;ICD10;Schuettig et al (2019);Other and unspecified sprain of finger(s);Dislocation and sprain of joints and ligaments at wrist and hand level;C2854205;
102;Contusion, sprain and strain;S83.6;S83;ICD10;Schuettig et al (2019);Sprain of the superior tibiofibular joint and ligament;Dislocation and sprain of joints and ligaments of knee;C2864564;
103;Fractures and injuries;S92.5;S92;ICD10;Schuettig et al (2019);Fracture of lesser toe(s);Fracture of foot and toe, except ankle;C2868312;C2866987
104;Superficial injuries;S90.1;S90;ICD10;Schuettig et al (2019);Contusion of toe without damage to nail;Superficial injury of ankle, foot and toes;C0495960;C2866060
105;Superficial injuries;S90.3;S90;ICD10;Schuettig et al (2019);Contusion of foot;Superficial injury of ankle, foot and toes;C0160955;C2866060
106;Contusion, sprain and strain;S93.4;S93;ICD10;Schuettig et al (2019);Sprain of ankle;Dislocation and sprain of joints and ligaments at ankle, foot and toe level;C0160087;
107;Contusion, sprain and strain;S93.6;S93;ICD10;Schuettig et al (2019);Sprain of foot;Dislocation and sprain of joints and ligaments at ankle, foot and toe level;C0160093;
108;Effects of external causes;T67.6;T67;ICD10;Schuettig et al (2019);Heat fatigue, transient;Effects of heat and light;C0152145;C0274287
109;Effects of external causes;T75.2;T75;ICD10;Schuettig et al (2019);Effects of vibration;Other and unspecified effects of other external causes;C0452131;C2886565
110;Effects of external causes;T78.4;T78;ICD10;Schuettig et al (2019);Other and unspecified allergy;Adverse effects, not elsewhere classified;C2886707;C0869220
111;Effects of external causes;T83.0;T83;ICD10;Schuettig et al (2019);Mechanical complication of urinary catheter;Complications of genitourinary prosthetic devices, implants and grafts;C0347928;C0496146
112;Persons encountering health services for examination and investigation ;Z01;Z01;ICD10;Schuettig et al (2019);Encounter for other special examination without complaint, suspected or reported diagnosis;Encounter for other special examination without complaint, suspected or reported diagnosis;;
113;Persons encountering health services for examination and investigation ;Z09;Z09;ICD10;Schuettig et al (2019);Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm;Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm;;
114;Persons with potential health hazards related to communicable diseases;Z23;Z23;ICD10;Schuettig et al (2019);Encounter for immunization;Encounter for immunization;C2910668;C2910668
115;Persons with potential health hazards related to communicable diseases;Z24.4;Z24;ICD10;Schuettig et al (2019);ERROR;ERROR;ERROR - atom;ERROR - atom
116;Persons with potential health hazards related to communicable diseases;Z24.5;Z24;ICD10;Schuettig et al (2019);ERROR;ERROR;ERROR - atom;ERROR - atom
117;Persons with potential health hazards related to communicable diseases;Z24.6;Z24;ICD10;Schuettig et al (2019);ERROR;ERROR;ERROR - atom;ERROR - atom
118;Persons with potential health hazards related to communicable diseases;Z25.8;Z25;ICD10;Schuettig et al (2019);ERROR;ERROR;ERROR - atom;ERROR - atom
119;Persons with potential health hazards related to communicable diseases;Z27.4;Z27;ICD10;Schuettig et al (2019);ERROR;ERROR;ERROR - atom;ERROR - atom
120;Persons with potential health hazards related to communicable diseases;Z29.8;Z29;ICD10;Schuettig et al (2019);Encounter for other specified prophylactic measures;Encounter for other prophylactic measures;C4270771;C4270761
121;Persons encountering health services for specific procedures and health care;Z41.9;Z41;ICD10;Schuettig et al (2019);Encounter for procedure for purposes other than remedying health state, unspecified;Encounter for procedures for purposes other than remedying health state;C2910799;C2910792
122;Persons encountering health services for specific procedures and health care;Z43.0;Z43;ICD10;Schuettig et al (2019);Encounter for attention to tracheostomy;Encounter for attention to artificial openings;C0260760;
123;Persons encountering health services for specific procedures and health care;Z43.2;Z43;ICD10;Schuettig et al (2019);Encounter for attention to ileostomy;Encounter for attention to artificial openings;C0260762;
124;Persons encountering health services for specific procedures and health care;Z43.3;Z43;ICD10;Schuettig et al (2019);Encounter for attention to colostomy;Encounter for attention to artificial openings;C0260763;
125;Persons encountering health services for specific procedures and health care;Z47.8;Z47;ICD10;Schuettig et al (2019);Encounter for other orthopedic aftercare;Orthopedic aftercare;C2910907;C0260758
126;Persons encountering health services for specific procedures and health care;Z47.9;Z47;ICD10;Schuettig et al (2019);ERROR;Orthopedic aftercare;ERROR - atom;C0260758
127;Persons encountering health services for specific procedures and health care;Z48.0;Z48;ICD10;Schuettig et al (2019);Encounter for attention to dressings, sutures and drains;Encounter for other postprocedural aftercare;C2910911;C2910910
128;Persons encountering health services for specific procedures and health care;Z48.8;Z48;ICD10;Schuettig et al (2019);Encounter for other specified postprocedural aftercare;Encounter for other postprocedural aftercare;C2910923;C2910910
129;Persons encountering health services for specific procedures and health care;Z48.9;Z48;ICD10;Schuettig et al (2019);ERROR;Encounter for other postprocedural aftercare;ERROR - atom;C2910910
130;Persons encountering health services for specific procedures and health care;Z59;Z59;ICD10;Schuettig et al (2019);Problems related to housing and economic circumstances;Problems related to housing and economic circumstances;C0476607;C0476607
131;Persons encountering health services for specific procedures and health care;Z63;Z63;ICD10;Schuettig et al (2019);Other problems related to primary support group, including family circumstances;Other problems related to primary support group, including family circumstances;C0496688;C0496688
132;Persons encountering health services for examination and investigation ;Z72.8;Z72;ICD10;Schuettig et al (2019);Other problems related to lifestyle;Problems related to lifestyle;C0348774;C0348087
133;Persons encountering health services for examination and investigation ;Z74.8;Z74;ICD10;Schuettig et al (2019);Other problems related to care provider dependency;Problems related to care provider dependency;C0478611;C0476649
134;Persons encountering health services for examination and investigation ;Z75.2;Z75;ICD10;Schuettig et al (2019);Other waiting period for investigation and treatment;Problems related to medical facilities and other health care;C0478612;C0476687
135;Persons encountering health services for examination and investigation ;Z76.8;Z76;ICD10;Schuettig et al (2019);Persons encountering health services in other specified circumstances;Persons encountering health services in other circumstances;C0478615;C0178343
136;Gastroenteritis;A00;A00;ICD10;Sarmento et al (2020);Cholera;Cholera;C0008354;C0008354
137;Gastroenteritis;A01;A01;ICD10;Sarmento et al (2020);Typhoid and paratyphoid fevers;Typhoid and paratyphoid fevers;C0275976;C0275976
138;Gastroenteritis;A02;A02;ICD10;Sarmento et al (2020);Other salmonella infections;Other salmonella infections;;
139;Gastroenteritis;A03;A03;ICD10;Sarmento et al (2020);Shigellosis;Shigellosis;C0013371;C0013371
140;Gastroenteritis;A04;A04;ICD10;Sarmento et al (2020);Other bacterial intestinal infections;Other bacterial intestinal infections;C0494023;C0494023
141;Gastroenteritis;A05;A05;ICD10;Sarmento et al (2020);Other bacterial foodborne intoxications, not elsewhere classified;Other bacterial foodborne intoxications, not elsewhere classified;C2880103;C2880103
142;Gastroenteritis;A06;A06;ICD10;Sarmento et al (2020);Amebiasis;Amebiasis;C0002438;C0002438
143;Gastroenteritis;A07;A07;ICD10;Sarmento et al (2020);Other protozoal intestinal diseases;Other protozoal intestinal diseases;C0152506;C0152506
144;Gastroenteritis;A08;A08;ICD10;Sarmento et al (2020);Viral and other specified intestinal infections;Viral and other specified intestinal infections;C0494032;C0494032
145;Gastroenteritis;A09;A09;ICD10;Sarmento et al (2020);Infectious gastroenteritis and colitis, unspecified;Infectious gastroenteritis and colitis, unspecified;C0021342;C0021342
146;Tuberculosis;A15;A15;ICD10;Sarmento et al (2020);Respiratory tuberculosis;Respiratory tuberculosis;C0041327;C0041327
147;Tuberculosis;A16;A16;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
148;Tuberculosis;A17;A17;ICD10;Sarmento et al (2020);Tuberculosis of nervous system;Tuberculosis of nervous system;C0348107;C0348107
149;Tetanus;A33;A33;ICD10;Sarmento et al (2020);Tetanus neonatorum;Tetanus neonatorum;C0343312;C0343312
150;Tetanus;A34;A34;ICD10;Sarmento et al (2020);Obstetrical tetanus;Obstetrical tetanus;C0348973;C0348973
151;Tetanus;A35;A35;ICD10;Sarmento et al (2020);Other tetanus;Other tetanus;C0039614;C0039614
152;Diphtheria;A36;A36;ICD10;Sarmento et al (2020);Diphtheria;Diphtheria;C0012546;C0012546
153;Whooping cough;A37;A37;ICD10;Sarmento et al (2020);Whooping cough;Whooping cough;C0043168;C0043168
154;Syphilis;A51;A51;ICD10;Sarmento et al (2020);Early syphilis;Early syphilis;C0348148;C0348148
155;Syphilis;A52;A52;ICD10;Sarmento et al (2020);Late syphilis;Late syphilis;C0153188;C0153188
156;Syphilis;A53;A53;ICD10;Sarmento et al (2020);Other and unspecified syphilis;Other and unspecified syphilis;C0558995;C0558995
157;Other diseases caused by chlamydiae;A69.1;A69;ICD10;Sarmento et al (2020);Other Vincent's infections;Other spirochetal infections;C0017575;C0153245
158;Acute poliomyelitis;A80;A80;ICD10;Sarmento et al (2020);Acute poliomyelitis;Acute poliomyelitis;C0032371;C0032371
159;Measles;B05;B05;ICD10;Sarmento et al (2020);Measles;Measles;C0025007;C0025007
160;Rubella;B06;B06;ICD10;Sarmento et al (2020);Rubella [German measles];Rubella [German measles];C0035920;C0035920
161;Malignant neoplasms of digestive organs;C18;C18;ICD10;Sarmento et al (2020);Malignant neoplasm of colon;Malignant neoplasm of colon;C0007102;C0007102
162;Malignant neoplasms of digestive organs;C19;C19;ICD10;Sarmento et al (2020);Malignant neoplasm of rectosigmoid junction;Malignant neoplasm of rectosigmoid junction;C2919144;C2919144
163;Malignant neoplasms of digestive organs;C20;C20;ICD10;Sarmento et al (2020);Malignant neoplasm of rectum;Malignant neoplasm of rectum;C0949022;C0949022
164;Malignant neoplasms of digestive organs;C21.8;C21;ICD10;Sarmento et al (2020);Malignant neoplasm of overlapping sites of rectum, anus and anal canal;Malignant neoplasm of anus and anal canal;;C0346631
165;Uterine cervical cancer;C53;C53;ICD10;Sarmento et al (2020);Malignant neoplasm of cervix uteri;Malignant neoplasm of cervix uteri;C0007847;C0007847
166;Iron deficiency anemia ;D50;D50;ICD10;Sarmento et al (2020);Iron deficiency anemia;Iron deficiency anemia;C0008272;C0008272
167;Vitamin B12 deficiency anemia;D51;D51;ICD10;Sarmento et al (2020);Vitamin B12 deficiency anemia;Vitamin B12 deficiency anemia;C2004521;C2004521
168;Folate deficiency anemia;D52;D52;ICD10;Sarmento et al (2020);Folate deficiency anemia;Folate deficiency anemia;C0151482;C0151482
169;Diabetes Mellitus Type 2;E11;E11;ICD10;Sarmento et al (2020);Type 2 diabetes mellitus;Type 2 diabetes mellitus;C0011847;C0011847
170;Diabetes mellitus (complications) ;E10.1;E10;ICD10;Sarmento et al (2020);Type 1 diabetes mellitus with ketoacidosis;Type 1 diabetes mellitus;C0342294;C0011854
171;Diabetes mellitus (complications) ;E10.5;E10;ICD10;Sarmento et al (2020);Type 1 diabetes mellitus with circulatory complications;Type 1 diabetes mellitus;C0837011;C0011854
172;Diabetes mellitus (complications) ;E10.6;E10;ICD10;Sarmento et al (2020);Type 1 diabetes mellitus with other specified complications;Type 1 diabetes mellitus;C0342261;C0011854
173;Diabetes mellitus (complications) ;E10.8;E10;ICD10;Sarmento et al (2020);Type 1 diabetes mellitus with unspecified complications;Type 1 diabetes mellitus;C1299613;C0011854
174;Diabetes mellitus (complications) ;E10.9;E10;ICD10;Sarmento et al (2020);Type 1 diabetes mellitus without complications;Type 1 diabetes mellitus;C0494284;C0011854
175;Diabetes mellitus (complications) ;E11.0;E11;ICD10;Sarmento et al (2020);Type 2 diabetes mellitus with hyperosmolarity;Type 2 diabetes mellitus;C0851219;C0011847
176;Diabetes mellitus (complications) ;E11.1;E11;ICD10;Sarmento et al (2020);Type 2 diabetes mellitus with ketoacidosis;Type 2 diabetes mellitus;C0342295;C0011847
177;Diabetes mellitus (complications) ;E11.5;E11;ICD10;Sarmento et al (2020);Type 2 diabetes mellitus with circulatory complications;Type 2 diabetes mellitus;C2874103;C0011847
178;Diabetes mellitus (complications) ;E11.6;E11;ICD10;Sarmento et al (2020);Type 2 diabetes mellitus with other specified complications;Type 2 diabetes mellitus;C0342262;C0011847
179;Diabetes mellitus (complications) ;E11.8;E11;ICD10;Sarmento et al (2020);Type 2 diabetes mellitus with unspecified complications;Type 2 diabetes mellitus;C1299614;C0011847
180;Diabetes mellitus (complications) ;E11.9;E11;ICD10;Sarmento et al (2020);Type 2 diabetes mellitus without complications;Type 2 diabetes mellitus;C0494290;C0011847
181;Diabetes mellitus (complications) ;E12.0;E12;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
182;Diabetes mellitus (complications) ;E12.1;E12;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
183;Diabetes mellitus (complications) ;E12.5;E12;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
184;Diabetes mellitus (complications) ;E12.6;E12;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
185;Diabetes mellitus (complications) ;E12.8;E12;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
186;Diabetes mellitus (complications) ;E12.9;E12;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
187;Diabetes mellitus (complications) ;E13.0;E13;ICD10;Sarmento et al (2020);Other specified diabetes mellitus with hyperosmolarity;Other specified diabetes mellitus;C0851211;
188;Diabetes mellitus (complications) ;E13.1;E13;ICD10;Sarmento et al (2020);Other specified diabetes mellitus with ketoacidosis;Other specified diabetes mellitus;C0348941;
189;Diabetes mellitus (complications) ;E13.5;E13;ICD10;Sarmento et al (2020);Other specified diabetes mellitus with circulatory complications;Other specified diabetes mellitus;C0837084;
